,RTM45C,RTM46C,RTM47C,RTM48C,RTM49C,RTM50C,RTM51C,RTM52C,RTM53C,RTM54C,RTM45P,RTM46P,RTM47P,RTM48P,RTM49P,RTM50P,RTM51P,RTM52P,RTM53P,RTM54P
0,0.20813014152712564,0.20387312663267265,0.20396298753015574,0.20512061262357514,0.20512281774111427,0.20467424749817836,0.20480303434424232,0.20593827294294423,0.20400827714651956,0.2060835613195963,0.20813014152712556,0.20387312663267276,0.20396298753015565,0.20512061262357514,0.20512281774111427,0.20467424749817836,0.20480303434424232,0.20593827294294423,0.20400827714651967,0.20608356131959624
1,0.20670179662768207,0.2073534764403103,0.20515589569556866,0.20490265702603877,0.205714946011466,0.20580815795564095,0.20660556949278316,0.20673240308763582,0.20652404330634183,0.20403466859626487,0.20670179662768448,0.20735347644031182,0.20515589569556955,0.20720564858374074,0.20571494601146662,0.20580815795564145,0.2066055694927837,0.20673240308763643,0.2065240433063427,0.20826461575960403
2,0.2204558473185525,0.2181544388397473,0.2165597762231214,0.21589996862039013,0.21476758446892874,0.2140004420035194,0.21493263950186162,0.21420664900453606,0.2138371480985906,0.21618522010081287,0.2126874656082936,0.21366374125402976,0.2135924562509166,0.21367814297058685,0.21288654340909274,0.21400044200351936,0.2130351660853992,0.21420664900453595,0.2138371480985905,0.21205374161871443
3,0.2088680324131937,0.2135791232434518,0.2110968499145527,0.2135892754691325,0.21197670497210014,0.213865800565024,0.21375433696885338,0.21196253073792176,0.21367695283754237,0.21270010582273752,0.2165446715322856,0.2135791232434526,0.21399145251505505,0.21358927546913295,0.21384195209996595,0.2138658005650243,0.21375433696885376,0.21427322546734476,0.21367695283754312,0.2170471954300026
4,0.21260186319440907,0.208958650480689,0.20842281547414504,0.20889205654337242,0.20888629089812324,0.20976541976927882,0.21019484982646905,0.20917787840743315,0.2098993686183921,0.2082366680157914,0.2126018631944074,0.20895865048068787,0.2112485243014439,0.21103646475559162,0.2107393190788922,0.20976541976927843,0.21019484982646855,0.2091778784074326,0.2098993686183912,0.20823666801579027
5,0.21347020177386197,0.2141820613437085,0.21519825494242484,0.21454534166675931,0.21426821825998835,0.21369594281725096,0.21496643161670304,0.21544652889552623,0.21555414001552056,0.21243386595431843,0.21347020177386228,0.21418206134370887,0.21519825494242492,0.21454534166675948,0.21426821825998846,0.21369594281725104,0.21300032201860203,0.21307500370737917,0.2123937683002536,0.2124338659543185
6,0.2191847967691787,0.2208165957203622,0.22163518115687952,0.22082260972182227,0.2225523168027494,0.22265532673335747,0.22173960371105694,0.2225271820918623,0.22069285892316437,0.22321642493469873,0.21918479676917965,0.22081659572036283,0.22163518115687997,0.22292962176831288,0.22255231680274964,0.22265532673335775,0.22173960371105714,0.2225271820918627,0.2237674758346731,0.2232164249346995
7,0.22578248966696715,0.2286747219303017,0.227174244620153,0.22731890028296373,0.2264412302307699,0.22646859793845195,0.22781569888415176,0.22738543444754095,0.22698677423390193,0.2276825474384315,0.22578248966696834,0.22488552814431265,0.22717424462015343,0.22731890028296398,0.2264412302307702,0.2264685979384522,0.22585594349888263,0.22738543444754128,0.2269867742339023,0.22768254743843205
8,0.23015093960956534,0.23042655558146366,0.2274694247338444,0.2286033417246657,0.22834433314103253,0.2290153542868409,0.2293901816591774,0.22800492351327098,0.22952494315520897,0.22990798115054525,0.23015093960956395,0.22673822382736403,0.22746942473384366,0.22860334172466512,0.22834433314103192,0.2290153542868404,0.2274162688317504,0.22800492351327029,0.22647396960187902,0.22560168998484936
9,0.23328184635569285,0.23033656381031714,0.23172520799682983,0.23164125322578746,0.23281460992516345,0.23157869880197746,0.23203411167573165,0.2330007459639646,0.23188346470728244,0.23097844261186815,0.23328184635569454,0.23405845588513563,0.23172520799683047,0.23164125322578794,0.2328146099251639,0.2333911427698309,0.23203411167573218,0.23300074596396514,0.23188346470728324,0.2349885232371332
